Re,Alpha,CD
25000,0,0.16
25000,2,0.1667
25000,4,0.1733
25000,6,0.1833
25000,8,0.1967
25000,10,0.2067
25000,12,0.2167
25000,14,0.2333
25000,16,0.25
25000,18,0.2667
25000,20,0.2833
25000,22,0.3
25000,24,0.3167
25000,26,0.3333
25000,28,0.35
50000,0,0.2
50000,2,0.2267
50000,4,0.2333
50000,6,0.2433
50000,8,0.26
50000,10,0.2767
50000,12,0.3
50000,14,0.3167
50000,16,0.3333
50000,18,0.4333
50000,20,0.4767
50000,22,0.5167
50000,24,0.55
50000,26,0.5833
50000,28,0.6067
75000,0,0.2
75000,2,0.2167
75000,4,0.2333
75000,6,0.24
75000,8,0.25
75000,10,0.2667
75000,12,0.2833
75000,14,0.31
75000,16,0.3333
75000,18,0.3667
75000,20,0.4833
75000,22,0.5167
75000,24,0.54
75000,26,0.5733
75000,28,0.6167
250000,0,0.0114
250000,2,0.0094
250000,4,0.01
250000,6,0.0129
250000,8,0.0171
250000,10,0.0271
250000,12,0.0371
250000,14,0.06
250000,16,0.1
250000,18,0.13
250000,20,0.17
250000,22,0.23
250000,24,0.33
250000,26,0.4
250000,28,0.48
500000,0,0.0114
500000,2,0.0094
500000,4,0.01
500000,6,0.0129
500000,8,0.0171
500000,10,0.0271
500000,12,0.0371
500000,14,0.06
500000,16,0.1
500000,18,0.13
500000,20,0.17
500000,22,0.23
500000,24,0.33
500000,26,0.4
500000,28,0.48
750000,0,0.0086
750000,2,0.0094
750000,4,0.01
750000,6,0.0129
750000,8,0.0171
750000,10,0.0286
750000,12,0.04
750000,14,0.06
750000,16,0.1
750000,18,0.13
750000,20,0.17
750000,22,0.22
750000,24,0.3
750000,26,0.4
750000,28,0.48
1000000,0,0.0086
1000000,2,0.0071
1000000,4,0.01
1000000,6,0.0129
1000000,8,0.0171
1000000,10,0.0286
1000000,12,0.04
1000000,14,0.06
1000000,16,0.1
1000000,18,0.13
1000000,20,0.17
1000000,22,0.22
1000000,24,0.3
1000000,26,0.4
1000000,28,0.48
3000000,0,0.0068
3000000,2,0.0069
3000000,4,0.007
3000000,6,0.0083
3000000,8,0.013
3000000,10,0.0165
3000000,12,0.021
3000000,14,0.024
3000000,16,0.019
3000000,18,0.024
3000000,20,0.04
3000000,22,0.08
3000000,24,0.12
3000000,26,0.2
3000000,28,0.3
