Re,Alpha,CL
25000,0,0.17
25000,2,0.2667
25000,4,0.4667
25000,6,0.6
25000,8,0.75
25000,10,0.85
25000,12,0.8833
25000,14,0.8667
25000,16,0.85
25000,18,0.8
25000,20,0.8167
25000,22,0.8
25000,24,0.7833
25000,26,0.8
25000,28,0.8167
50000,0,0.1667
50000,2,0.3167
50000,4,0.4833
50000,6,0.6
50000,8,0.7333
50000,10,0.8125
50000,12,1.0333
50000,14,1.1533
50000,16,1.2667
50000,18,0.8267
50000,20,0.8167
50000,22,0.81
50000,24,0.8267
50000,26,0.82
50000,28,0.81
75000,0,0.2833
75000,2,0.4333
75000,4,0.5667
75000,6,0.6833
75000,8,0.8167
75000,10,0.9667
75000,12,1.0667
75000,14,1.15
75000,16,1.2667
75000,18,1.3333
75000,20,0.8667
75000,22,0.8333
75000,24,0.8167
75000,26,0.8267
75000,28,0.8333
250000,0,0.26
250000,2,0.4
250000,4,0.5
250000,6,0.75
250000,8,0.95
250000,10,1.1
250000,12,1.2
250000,14,1.29
250000,16,1.33
250000,18,1.35
250000,20,1.33
250000,22,1.25
250000,24,1.1
250000,26,0.9
250000,28,0.95
500000,0,0.26
500000,2,0.47
500000,4,0.6
500000,6,0.8
500000,8,0.95
500000,10,1.1
500000,12,1.2
500000,14,1.28
500000,16,1.33
500000,18,1.35
500000,20,1.3
500000,22,1.2
500000,24,1.05
500000,26,0.9
500000,28,0.94
750000,0,0.26
750000,2,0.47
750000,4,0.6
750000,6,0.75
750000,8,0.93
750000,10,1.1
750000,12,1.19
750000,14,1.26
750000,16,1.33
750000,18,1.33
750000,20,1.28
750000,22,1.2
750000,24,1.18
750000,26,0.9
750000,28,0.94
1000000,0,0.26
1000000,2,0.45
1000000,4,0.65
1000000,6,0.8
1000000,8,0.95
1000000,10,1.1
1000000,12,1.2
1000000,14,1.3
1000000,16,1.33
1000000,18,1.35
1000000,20,1.3
1000000,22,1.2
1000000,24,1.05
1000000,26,0.9
1000000,28,0.94
3000000,0,0.42
3000000,2,0.635
3000000,4,0.845
3000000,6,1.05
3000000,8,1.2
3000000,10,1.34
3000000,12,1.45
3000000,14,1.5
3000000,16,1.4
3000000,18,1.32
3000000,20,1.28
3000000,22,1.18
3000000,24,1.03
3000000,26,0.88
3000000,28,0.92
