Re,Alpha,CD
25000,0,0.166808511
25000,3.98844,0.175190638
25000,5.97366,0.179360851
25000,8.01234,0.189911489
25000,10.06128,0.205079149
25000,12.06,0.217446809
25000,14.04,0.238297872
25000,16.11,0.256170213
25000,18.0963,0.266452766
25000,20.10618,0.279445957
25000,24.12,0.315744681
25000,28.09962,0.348510638
50000,0,0.20919749
50000,2.1050625,0.218177406
50000,4.0974375,0.22667113
50000,6.0838125,0.247635983
50000,8.0548125,0.256041841
50000,10.1274375,0.279308787
50000,11.1136875,0.281265272
50000,12.1145625,0.294410042
50000,13.084125,0.31152636
50000,14.08425,0.313512134
50000,15.0725625,0.321431799
50000,16.120125,0.329831799
50000,17.0720625,0.41574728
50000,18.0241875,0.435130544
50000,19.03425,0.455556485
50000,20.0615625,0.471419247
50000,22.0365,0.5082
50000,24,0.544769874
50000,26.0625,0.579916318
50000,28.003125,0.605040167
50000,30.0646875,0.674348954
75000,0,0.209081249
75000,2.154929577,0.209081249
75000,4.213901408,0.22464976
75000,6.084507042,0.237226801
75000,8.094802817,0.243467073
75000,10.20067606,0.274354806
75000,11.15492958,0.28547632
75000,12.16280282,0.297225078
75000,13.12783099,0.306171343
75000,14.10933803,0.315270398
75000,15.13292958,0.327200092
75000,16.11507042,0.336307189
75000,17.13422535,0.356222178
75000,18.07871831,0.361537666
75000,19.14084507,0.47043281
75000,20.09788732,0.486817542
75000,22.07611268,0.520684684
75000,24.08450704,0.546827881
75000,26.04739437,0.582689336
75000,28.01408451,0.627243746
75000,30.04225352,0.683534852
250000,-10,0.1553584
250000,-8.238412396,0.107186781
250000,-6.194644556,0.051326104
250000,-4.092972679,0.026911703
250000,-1.622672285,0.026911703
250000,0.848443659,0.026911703
250000,4.13510942,0.026911703
250000,6.985456028,0.026911703
250000,10.41321191,0.039381777
250000,13.89724072,0.085187532
250000,16.63014816,0.126458715
250000,19.16813919,0.164788997
250000,21.70613022,0.203119279
250000,25.5563409,0.354468854
250000,30.41864891,0.479711778
500000,-10,0.14480291
500000,-8.264144764,0.104793744
500000,-6.392368787,0.049139547
500000,-4.109555392,0.019247831
500000,-1.903709162,0.019247831
500000,0.280848276,0.019247831
500000,2.43101613,0.019247831
500000,4.374846475,0.025663774
500000,6.542209121,0.032820019
500000,8.663718988,0.045010311
500000,10.84418243,0.064077179
500000,12.9444035,0.076152314
500000,14.97502661,0.093903091
500000,16.87136658,0.120257813
500000,18.8725129,0.15580872
500000,20.84745763,0.197545255
500000,25.27388848,0.361431484
500000,30.2333579,0.445200674
750000,-10,0.132931841
750000,-8.502611488,0.108321465
750000,-6.063867983,0.043214649
750000,-4.207171261,0.012712106
750000,-1.999295474,0.012712106
750000,0.439448031,0.012712106
750000,2.362803742,0.012712106
750000,4.604009023,0.018978637
750000,6.58426875,0.027963377
750000,8.846609808,0.038233978
750000,11.18292609,0.055080366
750000,12.95264096,0.067825025
750000,14.67683261,0.087471007
750000,17.04078799,0.114392675
750000,18.92105923,0.145220753
750000,21.03138527,0.186547304
750000,25.39348449,0.264008138
750000,30.29454602,0.418490336
1000000,-10,0.149207873
1000000,-8.462541432,0.11950238
1000000,-6.482044455,0.081233738
1000000,-4.064273509,0.014222127
1000000,0.258233199,0.014222127
1000000,2.302139019,0.017458201
1000000,4.447334289,0.023548657
1000000,6.567001324,0.032609662
1000000,8.756665134,0.046101598
1000000,10.89609596,0.059278225
1000000,13.13022831,0.07301909
1000000,14.72615478,0.091572578
1000000,16.72806253,0.118705808
1000000,18.37504546,0.143598679
1000000,20.46506681,0.181966892
1000000,22.83095779,0.230889683
1000000,25.2421408,0.263549131
1000000,30.05544843,0.420506985
