Re,Alpha,CL
25000,0,0.178723404
25000,5.94,0.595744681
25000,8.06742,0.748725957
25000,10.08,0.84
25000,12.06,0.875744681
25000,14.04,0.869787234
25000,16.08012,0.855888511
25000,18.06768,0.801282553
25000,19.98,0.816170213
25000,24.07914,0.78824766
25000,28.09962,0.813108085
50000,0,0.165188285
50000,2.104125,0.318467782
50000,4.125,0.480334728
50000,6.084375,0.598661088
50000,8.1211875,0.7275841
50000,10.125,0.866945607
50000,11.129625,0.947425105
50000,12.1273125,1.020529707
50000,13.165875,1.096645188
50000,14.124375,1.152768201
50000,15.1224375,1.211193305
50000,16.066875,1.255354812
50000,17.0578125,0.824553138
50000,18.09375,0.824553138
50000,19.21875,0.820083682
50000,20.136375,0.816440167
50000,22.03125,0.811297071
50000,24,0.820083682
50000,26.0625,0.816440167
50000,28.0719375,0.805357322
50000,30.0646875,0.865258577
75000,0,0.281455527
75000,2.118169014,0.429392573
75000,4.127450704,0.560490537
75000,6.116577465,0.673112956
75000,8.079211268,0.818315862
75000,10.17887324,0.951150808
75000,11.16456338,1.035000431
75000,12.12743662,1.095915448
75000,13.18309859,1.153967661
75000,14.1444507,1.1814337
75000,15.12215493,1.273525948
75000,16.12533803,1.29725667
75000,17.14132394,1.339997702
75000,18.06376056,1.328401735
75000,19.14033803,0.868913524
75000,20.14795775,0.856248026
75000,22.1435493,0.831162296
75000,24.08450704,0.824262615
75000,26.17225352,0.829264482
75000,28.04412676,0.843707171
75000,29.98914085,0.873444958
250000,-10.21956768,-0.254401964
250000,-8.13242241,-0.446271669
250000,-6.045277138,-0.354058861
250000,-3.795334535,-0.210642795
250000,-1.842601418,-0.077202479
250000,0.058370496,0.052700219
250000,0.437396078,0.190650579
250000,2.340872566,0.208657226
250000,4.624209494,0.364698063
250000,6.477594496,0.467473429
250000,8.586446079,0.584416035
250000,10.83555382,0.738092871
250000,12.62715933,0.837481513
250000,14.6266445,0.933097811
250000,16.72213835,1.012769678
250000,18.94286092,1.097186312
250000,20.67018235,1.097186312
250000,25.679331,0.953686417
250000,30.4722514,0.829668573
500000,-10,-0.22079114
500000,-8.373038767,-0.181017935
500000,-6.376275241,-0.072831453
500000,-4.2174066,0.044100088
500000,-1.719130374,0.179497159
500000,0.123126715,0.310235804
500000,2.135931893,0.428327748
500000,4.235699712,0.577397384
500000,6.217265883,0.718024674
500000,8.467318652,0.85005826
500000,10.60676845,0.986228933
500000,12.69302751,1.097947073
500000,14.67374938,1.19239372
500000,16.77773869,1.266339928
500000,18.85555477,1.299453434
500000,20.89284458,1.335493171
500000,25.58122845,0.963912213
500000,30.54991909,0.945547587
750000,-10,-0.311961122
750000,-8.669140383,-0.308016503
750000,-7.993815708,-0.294442373
750000,-5.902700474,-0.212119167
750000,-3.980622552,-0.095123092
750000,-1.830138116,0.051275312
750000,0.142238714,0.145200339
750000,2.385075242,0.281770343
750000,4.43001443,0.420925896
750000,6.551638837,0.575942796
750000,8.706246135,0.695226088
750000,10.70665842,0.805924032
750000,12.78293135,0.911102824
750000,14.73634302,1.010066355
750000,16.80931767,1.080307093
750000,18.8410637,1.114814223
750000,20.79694908,1.137388051
750000,25.75097918,1.026275756
750000,30.61100804,0.748892796
1000000,-10,-0.318788929
1000000,-7.895263735,-0.29174106
1000000,-6.072998823,-0.218332393
1000000,-3.90075623,-0.109603541
1000000,-1.802648845,0.031237532
1000000,0.48553146,0.139380158
1000000,0.48553146,0.213570461
1000000,2.462019237,0.276622448
1000000,4.479091979,0.400462933
1000000,6.69259595,0.558776832
1000000,8.660155035,0.679539626
1000000,10.74216372,0.794700693
1000000,12.84608829,0.901524307
1000000,15.09936552,1.000482707
1000000,16.81692122,1.065260807
1000000,18.9054235,1.106882935
1000000,20.99392578,1.137757565
1000000,25.70665188,1.005693615
1000000,30.58090613,0.75110819
